Model,Cross-Validation F1 Scores,Mean F1 Score
Naive Bayes (TF-IDF Only),"[0.4423444556193562, 0.4493867139631793, 0.44637765638910815]",0.4460362753238812
Logistic Regression (Combined Features),"[0.5515474844156769, 0.5549023681013322, 0.5582075911417361]",0.5548858145529151
